year,metric,value,source,source_url
2010,cpi_food_index,88.7,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2011,cpi_food_index,94.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2012,cpi_food_index,98.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2013,cpi_food_index,101.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2014,cpi_food_index,101.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2015,cpi_food_index,100.0,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2016,cpi_food_index,99.3,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2017,cpi_food_index,101.5,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2018,cpi_food_index,104.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2019,cpi_food_index,105.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2020,cpi_food_index,108.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2021,cpi_food_index,110.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2022,cpi_food_index,122.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2023,cpi_food_index,133.1,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2024,cpi_food_index,136.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2010,cpi_energy_index,73.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2011,cpi_energy_index,82.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2012,cpi_energy_index,91.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2013,cpi_energy_index,95.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2014,cpi_energy_index,95.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2015,cpi_energy_index,100.0,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
