year,value,source,source_url
2010,31.4,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2011,31.6,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2012,32.4,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2013,33.2,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2014,33.8,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2015,33.8,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2016,33.5,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2017,33.7,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2018,34.8,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2019,35.2,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2020,37.0,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2021,36.2,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2022,38.1,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2023,38.4,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
2024,,OECD Revenue Statistics,https://stats.oecd.org/index.aspx?DataSetCode=REV
