year,value,source,source_url
2010,7.6,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2011,7.1,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2012,6.4,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2013,6.0,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2014,5.9,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2015,6.1,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2016,6.3,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2017,6.7,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2018,7.1,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2019,7.4,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2020,7.2,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2021,7.5,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2022,7.8,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2023,8.4,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
2024,8.9,INE Índice de Precios de Vivienda,https://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736152838
