year,value,source,source_url
2010,21883,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2011,22149,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2012,22103,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2013,21859,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2014,21502,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2015,21563,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2016,21938,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2017,22801,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2018,23841,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2019,24395,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2020,25165,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2021,26832,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2022,29062,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2023,29862,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
2024,,INE Encuesta de Estructura Salarial,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177025
