year,value,source,source_url
2010,20.7,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2011,20.6,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2012,20.8,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2013,20.4,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2014,22.2,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2015,22.1,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2016,22.3,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2017,21.6,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2018,21.5,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2019,20.7,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2020,21.7,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2021,21.7,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2022,20.4,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2023,20.2,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
2024,,Eurostat ilc_li02,https://ec.europa.eu/eurostat/databrowser/view/ilc_li02
