year,metric,value,unit,source,source_url
2010,minister_salary_nominal,68718,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2010/01/01/pdfs/BOE-A-2010-44.pdf
2010,minister_salary_real,80882,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2010/01/01/pdfs/BOE-A-2010-44.pdf
2011,minister_salary_nominal,66898,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2011/01/01/pdfs/BOE-A-2011-52.pdf
2011,minister_salary_real,77452,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2011/01/01/pdfs/BOE-A-2011-52.pdf
2012,minister_salary_nominal,66780,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2012/01/01/pdfs/BOE-A-2012-55.pdf
2012,minister_salary_real,75501,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2012/01/01/pdfs/BOE-A-2012-55.pdf
2013,minister_salary_nominal,66780,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2013/01/01/pdfs/BOE-A-2013-52.pdf
2013,minister_salary_real,75127,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2013/01/01/pdfs/BOE-A-2013-52.pdf
2014,minister_salary_nominal,66780,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2014,minister_salary_real,75570,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2015,minister_salary_nominal,66780,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2015,minister_salary_real,66780,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2016,minister_salary_nominal,66780,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2016,minister_salary_real,66108,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2017,minister_salary_nominal,66780,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2017/01/31/pdfs/BOE-A-2017-981.pdf
2017,minister_salary_real,64350,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2017/01/31/pdfs/BOE-A-2017-981.pdf
2018,minister_salary_nominal,74511,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2018/07/01/pdfs/BOE-A-2018-9049.pdf
2018,minister_salary_real,70151,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2018/07/01/pdfs/BOE-A-2018-9049.pdf
2019,minister_salary_nominal,74511,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2018/07/01/pdfs/BOE-A-2018-9049.pdf
2019,minister_salary_real,69824,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2018/07/01/pdfs/BOE-A-2018-9049.pdf
2020,minister_salary_nominal,78744,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2020/01/14/pdfs/BOE-A-2020-456.pdf
2020,minister_salary_real,75013,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2020/01/14/pdfs/BOE-A-2020-456.pdf
2021,minister_salary_nominal,78744,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2020/01/14/pdfs/BOE-A-2020-456.pdf
2021,minister_salary_real,72511,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2020/01/14/pdfs/BOE-A-2020-456.pdf
2022,minister_salary_nominal,82481,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2022/01/01/pdfs/BOE-A-2022-53.pdf
2022,minister_salary_real,70326,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2022/01/01/pdfs/BOE-A-2022-53.pdf
2023,minister_salary_nominal,85773,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2023/01/01/pdfs/BOE-A-2023-52.pdf
2023,minister_salary_real,71478,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2023/01/01/pdfs/BOE-A-2023-52.pdf
2024,minister_salary_nominal,88789,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2024/01/01/pdfs/BOE-A-2024-52.pdf
2024,minister_salary_real,72619,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2024/01/01/pdfs/BOE-A-2024-52.pdf
