year,metric,value,unit,source,source_url
2010,mp_salary_nominal,38939,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2010,mp_salary_real,45834,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2011,mp_salary_nominal,38939,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2011,mp_salary_real,45084,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2012,mp_salary_nominal,35969,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2012,mp_salary_real,40669,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2013,mp_salary_nominal,35969,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2013,mp_salary_real,40467,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2014,mp_salary_nominal,35969,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2014,mp_salary_real,40722,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2015,mp_salary_nominal,35969,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2015,mp_salary_real,35969,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2016,mp_salary_nominal,35969,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2016,mp_salary_real,35606,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2017,mp_salary_nominal,35969,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2017,mp_salary_real,34667,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2018,mp_salary_nominal,38671,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2018,mp_salary_real,36413,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2019,mp_salary_nominal,38671,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2019,mp_salary_real,36058,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2020,mp_salary_nominal,40433,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2020,mp_salary_real,38508,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2021,mp_salary_nominal,40433,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2021,mp_salary_real,37228,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2022,mp_salary_nominal,43174,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2022,mp_salary_real,36814,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2023,mp_salary_nominal,45163,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2023,mp_salary_real,37636,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2024,mp_salary_nominal,46769,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
2024,mp_salary_real,38245,EUR/year,Congreso de los Diputados retribuciones,https://www.congreso.es/web/guest/retribuciones
