year,metric,value,unit,source,source_url
2010,president_salary_nominal,78185,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2010/01/01/pdfs/BOE-A-2010-44.pdf
2010,president_salary_real,91982,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2010/01/01/pdfs/BOE-A-2010-44.pdf
2011,president_salary_nominal,76059,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2011/01/01/pdfs/BOE-A-2011-52.pdf
2011,president_salary_real,88049,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2011/01/01/pdfs/BOE-A-2011-52.pdf
2012,president_salary_nominal,75978,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2012/01/01/pdfs/BOE-A-2012-55.pdf
2012,president_salary_real,85930,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2012/01/01/pdfs/BOE-A-2012-55.pdf
2013,president_salary_nominal,75978,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2013/01/01/pdfs/BOE-A-2013-52.pdf
2013,president_salary_real,85505,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2013/01/01/pdfs/BOE-A-2013-52.pdf
2014,president_salary_nominal,75978,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2014,president_salary_real,86037,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2015,president_salary_nominal,75978,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2015,president_salary_real,75978,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2016,president_salary_nominal,75978,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2016,president_salary_real,75213,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/buscar/act.php?id=BOE-A-2014-5441
2017,president_salary_nominal,75978,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2017/01/31/pdfs/BOE-A-2017-981.pdf
2017,president_salary_real,73222,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2017/01/31/pdfs/BOE-A-2017-981.pdf
2018,president_salary_nominal,84845,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2018/07/01/pdfs/BOE-A-2018-9049.pdf
2018,president_salary_real,79883,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2018/07/01/pdfs/BOE-A-2018-9049.pdf
2019,president_salary_nominal,84845,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2018/07/01/pdfs/BOE-A-2018-9049.pdf
2019,president_salary_real,79102,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2018/07/01/pdfs/BOE-A-2018-9049.pdf
2020,president_salary_nominal,89632,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2020/01/14/pdfs/BOE-A-2020-456.pdf
2020,president_salary_real,85353,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2020/01/14/pdfs/BOE-A-2020-456.pdf
2021,president_salary_nominal,89632,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2020/01/14/pdfs/BOE-A-2020-456.pdf
2021,president_salary_real,82527,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2020/01/14/pdfs/BOE-A-2020-456.pdf
2022,president_salary_nominal,93869,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2022/01/01/pdfs/BOE-A-2022-53.pdf
2022,president_salary_real,80059,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2022/01/01/pdfs/BOE-A-2022-53.pdf
2023,president_salary_nominal,97589,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2023/01/01/pdfs/BOE-A-2023-52.pdf
2023,president_salary_real,81324,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2023/01/01/pdfs/BOE-A-2023-52.pdf
2024,president_salary_nominal,101013,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2024/01/01/pdfs/BOE-A-2024-52.pdf
2024,president_salary_real,82631,EUR/year,BOE Real Decreto retribuciones altos cargos,https://www.boe.es/boe/dias/2024/01/01/pdfs/BOE-A-2024-52.pdf
