person_name,political_role,entity_moved_to,year,source_url
Jose Maria Aznar,Presidente del Gobierno,News Corporation (consejo asesor),2006,https://elpais.com/politica/2006/10/05/actualidad/1159991880_850215.html
Rodrigo Rato,Ministro de Economia,Caja Madrid / Bankia (presidente),2010,https://elpais.com/economia/2012/05/10/actualidad/1336647400_557891.html
Felipe Gonzalez,Presidente del Gobierno,Gas Natural Fenosa (consejo),2002,https://elpais.com/diario/2002/09/18/economia/1032300004_850215.html
Jose Maria Aznar,Presidente del Gobierno,Endesa (consejo asesor),2007,https://elpais.com/diario/2007/04/25/economia/1177452001_850215.html
Ana Pastor,Ministra de Fomento,Iberdrola (consejo),2019,https://www.eldiario.es/economia/ana-pastor-iberdrola_1_1367812.html
Jose Ignacio Wert,Ministro de Educacion,Embajador en OCDE (cargo publico),2016,https://elpais.com/politica/2015/12/19/actualidad/1450514093_093204.html
Jordi Sevilla,Ministro Administraciones Publicas,Red Electrica de Espana (consejo),2008,https://www.eldiario.es/economia/jordi-sevilla-red-electrica_1_3234891.html
Miguel Sebastian,Ministro de Industria,Atresmedia (consejo),2011,https://elpais.com/economia/2012/01/15/actualidad/1326641380_248651.html
Elena Espinosa,Ministra de Medio Ambiente,Aguas de Valencia (consejo),2012,https://www.eldiario.es/economia/puertas-giratorias-espana_1_2895672.html
Jose Montilla,Presidente Generalitat Cataluña,Endesa (consejero),2013,https://elpais.com/politica/2013/09/10/actualidad/1378815602_348764.html
Esperanza Aguirre,Presidenta Comunidad Madrid,Fundacion Cajamadrid (patronato),2012,https://www.eldiario.es/economia/esperanza-aguirre-puertas-giratorias_1_3901234.html
Jose Blanco,Ministro de Fomento,Renfe (vicepresidente),2012,https://elpais.com/politica/2012/05/14/actualidad/1337005203_405832.html
Luis de Guindos,Ministro de Economia,Banco Central Europeo (vicepresidente),2019,https://elpais.com/economia/2018/02/19/actualidad/1519056247_618284.html
Soraya Saenz de Santamaria,Vicepresidenta del Gobierno,Cuatrecasas (socia),2018,https://elpais.com/politica/2018/10/11/actualidad/1539281618_893208.html
Jorge Fernandez Diaz,Ministro del Interior,Abertis (consejo),2018,https://www.eldiario.es/economia/jorge-fernandez-diaz-abertis_1_4012341.html
Trinidad Jimenez,Ministra de Asuntos Exteriores,Kreab (directora iberia),2014,https://elpais.com/politica/2014/03/20/actualidad/1395329012_308213.html
Ana Mato,Ministra de Sanidad,Iberdrola (asesora),2014,https://www.eldiario.es/economia/ana-mato-iberdrola_1_3456712.html
Eduardo Zaplana,Ministro de Trabajo,Telefonica (directivo),2004,https://elpais.com/politica/2004/04/15/actualidad/1082001602_850215.html
Manuel Pimentel,Ministro de Trabajo,Ariel Editorial (director),2002,https://elpais.com/diario/2002/01/14/sociedad/1011045601_850215.html
Francisco Camps,Presidente Generalitat Valenciana,Global Omnium (consejo),2015,https://www.eldiario.es/economia/francisco-camps-global-omnium_1_3789234.html
Gerardo Diaz Ferran,Presidente CEOE,Marsans (presidente),2011,https://elpais.com/economia/2011/10/12/actualidad/1318404002_848922.html
Cesar Alierta,Presidente Telefonica,Embajador Digital ONU (cargo),2016,https://elpais.com/tecnologia/2016/05/26/actualidad/1464262320_736523.html
